timestamp,load_mw,temperature_c,wind_mps,is_holiday,capacity_mw,year,date,month,month_name,month_order,quarter,hour,day_type,day_of_week
2024-01-01 00:00:00,3897.5,-3.0,4.0,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,0,Свято,Понеділок
2024-01-01 01:00:00,4238.2,-3.1,1.5,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,1,Свято,Понеділок
2024-01-01 02:00:00,4059.4,-2.4,0.4,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,2,Свято,Понеділок
2024-01-01 03:00:00,4361.0,-2.5,1.4,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,3,Свято,Понеділок
2024-01-01 04:00:00,4353.8,0.2,1.6,1.0,5162.7,2024,2024-01-01,1,Січень,1,1,4,Свято,Понеділок
2024-01-01 05:00:00,4715.6,0.8,3.1,1.0,5464.7,2024,2024-01-01,1,Січень,1,1,5,Свято,Понеділок
2024-01-01 06:00:00,4501.2,4.0,4.5,1.0,5203.6,2024,2024-01-01,1,Січень,1,1,6,Свято,Понеділок
2024-01-01 07:00:00,5314.5,11.7,2.9,1.0,5615.6,2024,2024-01-01,1,Січень,1,1,7,Свято,Понеділок
2024-01-01 08:00:00,5027.3,7.8,0.6,1.0,5231.1,2024,2024-01-01,1,Січень,1,1,8,Свято,Понеділок
2024-01-01 09:00:00,4812.1,7.0,0.9,1.0,5107.3,2024,2024-01-01,1,Січень,1,1,9,Свято,Понеділок
2024-01-01 10:00:00,4833.8,9.6,5.1,1.0,5190.4,2024,2024-01-01,1,Січень,1,1,10,Свято,Понеділок
2024-01-01 11:00:00,3981.6,11.3,0.6,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,11,Свято,Понеділок
2024-01-01 12:00:00,3713.3,9.8,4.4,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,12,Свято,Понеділок
2024-01-01 13:00:00,3648.1,9.7,4.9,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,13,Свято,Понеділок
2024-01-01 14:00:00,3658.9,10.9,0.1,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,14,Свято,Понеділок
2024-01-01 15:00:00,3436.5,6.9,4.7,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,15,Свято,Понеділок
2024-01-01 16:00:00,3126.6,11.0,1.2,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,16,Свято,Понеділок
2024-01-01 17:00:00,3640.8,7.1,3.0,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,17,Свято,Понеділок
2024-01-01 18:00:00,3585.9,4.2,1.4,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,18,Свято,Понеділок
2024-01-01 19:00:00,3445.9,4.5,0.1,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,19,Свято,Понеділок
2024-01-01 20:00:00,3477.7,-0.7,2.2,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,20,Свято,Понеділок
2024-01-01 21:00:00,3547.5,-3.5,2.5,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,21,Свято,Понеділок
2024-01-01 22:00:00,3820.2,-2.8,2.1,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,22,Свято,Понеділок
2024-01-01 23:00:00,3714.4,-3.0,4.3,1.0,5000.0,2024,2024-01-01,1,Січень,1,1,23,Свято,Понеділок
2024-01-02 00:00:00,3795.7,-2.0,6.3,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,0,Робочий,Вівторок
2024-01-02 01:00:00,4173.6,-5.0,1.7,0.0,5047.5,2024,2024-01-02,1,Січень,1,1,1,Робочий,Вівторок
2024-01-02 02:00:00,4237.1,-2.3,0.5,0.0,5042.6,2024,2024-01-02,1,Січень,1,1,2,Робочий,Вівторок
2024-01-02 03:00:00,4306.5,-0.1,3.9,0.0,5093.6,2024,2024-01-02,1,Січень,1,1,3,Робочий,Вівторок
2024-01-02 04:00:00,4519.5,-1.1,4.4,0.0,5221.0,2024,2024-01-02,1,Січень,1,1,4,Робочий,Вівторок
2024-01-02 05:00:00,4918.6,5.1,1.9,0.0,5702.1,2024,2024-01-02,1,Січень,1,1,5,Робочий,Вівторок
2024-01-02 06:00:00,4734.0,5.0,0.8,0.0,5428.4,2024,2024-01-02,1,Січень,1,1,6,Робочий,Вівторок
2024-01-02 07:00:00,5331.1,7.8,3.0,0.0,5627.7,2024,2024-01-02,1,Січень,1,1,7,Робочий,Вівторок
2024-01-02 08:00:00,4985.0,9.0,8.1,0.0,5288.8,2024,2024-01-02,1,Січень,1,1,8,Робочий,Вівторок
2024-01-02 09:00:00,4815.1,11.6,1.3,0.0,5008.7,2024,2024-01-02,1,Січень,1,1,9,Робочий,Вівторок
2024-01-02 10:00:00,4819.4,13.3,4.5,0.0,5254.8,2024,2024-01-02,1,Січень,1,1,10,Робочий,Вівторок
2024-01-02 11:00:00,3974.4,9.4,4.6,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,11,Робочий,Вівторок
2024-01-02 12:00:00,4041.3,12.5,2.0,0.0,5058.9,2024,2024-01-02,1,Січень,1,1,12,Робочий,Вівторок
2024-01-02 13:00:00,3783.9,10.3,2.6,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,13,Робочий,Вівторок
2024-01-02 14:00:00,3565.8,10.9,3.5,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,14,Робочий,Вівторок
2024-01-02 15:00:00,3413.2,9.2,5.1,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,15,Робочий,Вівторок
2024-01-02 16:00:00,3047.6,8.9,2.9,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,16,Робочий,Вівторок
2024-01-02 17:00:00,3385.5,7.0,5.2,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,17,Робочий,Вівторок
2024-01-02 18:00:00,3606.3,6.6,0.7,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,18,Робочий,Вівторок
2024-01-02 19:00:00,3528.8,3.0,2.5,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,19,Робочий,Вівторок
2024-01-02 20:00:00,3733.4,1.6,4.8,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,20,Робочий,Вівторок
2024-01-02 21:00:00,3207.8,-3.5,2.8,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,21,Робочий,Вівторок
2024-01-02 22:00:00,3256.1,2.2,4.1,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,22,Робочий,Вівторок
2024-01-02 23:00:00,3724.4,-5.1,6.9,0.0,5000.0,2024,2024-01-02,1,Січень,1,1,23,Робочий,Вівторок
2024-01-03 00:00:00,3991.9,-4.6,2.6,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,0,Робочий,Середа
2024-01-03 01:00:00,4179.6,-0.1,2.5,0.0,5014.9,2024,2024-01-03,1,Січень,1,1,1,Робочий,Середа
2024-01-03 02:00:00,4432.4,-3.4,1.3,0.0,5223.3,2024,2024-01-03,1,Січень,1,1,2,Робочий,Середа
2024-01-03 03:00:00,4669.7,-2.3,1.9,0.0,5444.3,2024,2024-01-03,1,Січень,1,1,3,Робочий,Середа
2024-01-03 04:00:00,4597.0,4.4,0.8,0.0,5470.5,2024,2024-01-03,1,Січень,1,1,4,Робочий,Середа
2024-01-03 05:00:00,4824.1,3.6,0.7,0.0,5771.6,2024,2024-01-03,1,Січень,1,1,5,Робочий,Середа
2024-01-03 06:00:00,4567.4,7.4,3.5,0.0,5429.4,2024,2024-01-03,1,Січень,1,1,6,Робочий,Середа
2024-01-03 07:00:00,5055.7,6.9,0.7,0.0,5305.6,2024,2024-01-03,1,Січень,1,1,7,Робочий,Середа
2024-01-03 08:00:00,4902.0,12.1,1.7,0.0,5187.3,2024,2024-01-03,1,Січень,1,1,8,Робочий,Середа
2024-01-03 09:00:00,5271.8,10.6,3.4,0.0,5579.8,2024,2024-01-03,1,Січень,1,1,9,Робочий,Середа
2024-01-03 10:00:00,4695.7,12.2,2.6,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,10,Робочий,Середа
2024-01-03 11:00:00,4231.3,8.8,1.5,0.0,5200.2,2024,2024-01-03,1,Січень,1,1,11,Робочий,Середа
2024-01-03 12:00:00,3947.5,12.6,3.1,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,12,Робочий,Середа
2024-01-03 13:00:00,3620.5,14.4,1.5,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,13,Робочий,Середа
2024-01-03 14:00:00,3526.1,13.6,4.4,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,14,Робочий,Середа
2024-01-03 15:00:00,3243.4,11.6,0.4,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,15,Робочий,Середа
2024-01-03 16:00:00,3181.2,10.0,2.1,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,16,Робочий,Середа
2024-01-03 17:00:00,3538.5,6.1,2.5,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,17,Робочий,Середа
2024-01-03 18:00:00,3432.0,6.2,3.2,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,18,Робочий,Середа
2024-01-03 19:00:00,3646.5,6.6,0.4,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,19,Робочий,Середа
2024-01-03 20:00:00,3696.5,3.2,3.9,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,20,Робочий,Середа
2024-01-03 21:00:00,3369.9,-2.2,7.7,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,21,Робочий,Середа
2024-01-03 22:00:00,3437.2,0.7,2.9,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,22,Робочий,Середа
2024-01-03 23:00:00,3548.8,-2.4,0.6,0.0,5000.0,2024,2024-01-03,1,Січень,1,1,23,Робочий,Середа
2024-01-04 00:00:00,3642.6,0.0,6.9,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,0,Робочий,Четвер
2024-01-04 01:00:00,4172.3,-4.4,2.0,0.0,5074.0,2024,2024-01-04,1,Січень,1,1,1,Робочий,Четвер
2024-01-04 02:00:00,4336.7,-0.1,2.7,0.0,5191.9,2024,2024-01-04,1,Січень,1,1,2,Робочий,Четвер
2024-01-04 03:00:00,4486.3,-1.2,2.5,0.0,5324.2,2024,2024-01-04,1,Січень,1,1,3,Робочий,Четвер
2024-01-04 04:00:00,4833.4,1.4,3.4,0.0,5805.7,2024,2024-01-04,1,Січень,1,1,4,Робочий,Четвер
2024-01-04 05:00:00,4742.7,1.7,2.9,0.0,5533.8,2024,2024-01-04,1,Січень,1,1,5,Робочий,Четвер
2024-01-04 06:00:00,4490.1,7.2,4.3,0.0,5120.2,2024,2024-01-04,1,Січень,1,1,6,Робочий,Четвер
2024-01-04 07:00:00,5092.5,6.3,2.8,0.0,5193.9,2024,2024-01-04,1,Січень,1,1,7,Робочий,Четвер
2024-01-04 08:00:00,5184.4,10.0,4.9,0.0,5323.3,2024,2024-01-04,1,Січень,1,1,8,Робочий,Четвер
2024-01-04 09:00:00,5127.7,14.6,1.7,0.0,5401.9,2024,2024-01-04,1,Січень,1,1,9,Робочий,Четвер
2024-01-04 10:00:00,4834.7,10.0,2.3,0.0,5107.5,2024,2024-01-04,1,Січень,1,1,10,Робочий,Четвер
2024-01-04 11:00:00,3896.9,15.5,1.5,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,11,Робочий,Четвер
2024-01-04 12:00:00,4069.0,13.9,3.2,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,12,Робочий,Четвер
2024-01-04 13:00:00,3557.7,14.3,2.2,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,13,Робочий,Четвер
2024-01-04 14:00:00,3625.6,13.3,6.8,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,14,Робочий,Четвер
2024-01-04 15:00:00,3523.5,9.5,2.7,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,15,Робочий,Четвер
2024-01-04 16:00:00,3337.0,11.6,2.8,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,16,Робочий,Четвер
2024-01-04 17:00:00,3382.8,10.1,4.1,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,17,Робочий,Четвер
2024-01-04 18:00:00,3601.9,8.2,2.2,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,18,Робочий,Четвер
2024-01-04 19:00:00,3731.4,3.4,0.7,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,19,Робочий,Четвер
2024-01-04 20:00:00,3561.6,2.9,0.3,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,20,Робочий,Четвер
2024-01-04 21:00:00,3340.1,-0.6,0.9,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,21,Робочий,Четвер
2024-01-04 22:00:00,3647.2,-1.8,1.0,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,22,Робочий,Четвер
2024-01-04 23:00:00,3697.8,-4.1,0.6,0.0,5000.0,2024,2024-01-04,1,Січень,1,1,23,Робочий,Четвер
2024-01-05 00:00:00,3901.5,1.6,1.4,0.0,5000.0,2024,2024-01-05,1,Січень,1,1,0,Робочий,П'ятниця
2024-01-05 01:00:00,4030.5,-0.3,1.3,0.0,5000.0,2024,2024-01-05,1,Січень,1,1,1,Робочий,П'ятниця
